25676-INFO-2022-09-29 18:32:45,616-Program has been started
25676-INFO-2022-09-29 18:32:54,157-Entered Value of Restaurant Name is 
25676-INFO-2022-09-29 18:32:54,157-Entered Value of Votes is abhi
25676-INFO-2022-09-29 18:32:54,157-Entered Value of Restaurant Type is 
25676-INFO-2022-09-29 18:32:54,157-Entered Value of Location is 
25676-INFO-2022-09-29 18:32:54,157-Entered Value of Cost is 
25676-INFO-2022-09-29 18:32:54,157-Entered Value of Cuisines is  
25676-INFO-2022-09-29 18:32:54,157-Entered Value of Online Order is 0
25676-INFO-2022-09-29 18:32:54,157-Entered Value of Book Table is 0
25676-INFO-2022-09-29 18:32:54,158-Required Field is Empty
25676-INFO-2022-09-29 18:33:00,356-Program Ended
